ID,Age,Netflix,Hulu,Prime_Video,Disney
2,18+,1,0,0,0
5,18+,1,0,1,0
7,18+,1,0,1,0
8,18+,1,0,0,0
10,18+,1,0,0,0
11,18+,1,0,0,0
13,18+,1,0,0,0
14,18+,1,0,0,0
19,18+,1,0,0,0
20,18+,1,0,0,0
21,18+,1,0,0,0
23,18+,1,0,0,0
25,18+,1,0,0,0
26,18+,1,0,0,0
27,18+,1,0,0,0
28,18+,1,0,0,0
29,18+,1,0,0,0
30,18+,1,0,0,0
31,18+,1,0,0,0
32,18+,1,0,1,0
38,18+,1,0,0,0
42,18+,1,0,0,0
43,18+,1,0,0,0
44,18+,1,0,0,0
50,18+,1,0,0,0
51,18+,1,0,0,0
53,18+,1,0,0,0
59,18+,1,0,0,0
65,18+,1,0,0,0
67,18+,1,0,0,0
69,18+,1,0,0,0
70,18+,1,0,0,0
72,18+,1,0,0,0
73,18+,1,0,0,0
74,18+,1,0,0,0
75,18+,1,0,0,0
76,18+,1,0,0,0
77,18+,1,0,0,0
80,18+,1,0,0,0
83,18+,1,0,0,0
84,18+,1,0,0,0
86,18+,1,0,0,0
87,18+,1,0,0,0
88,18+,1,0,0,0
91,18+,1,0,0,0
93,18+,1,0,0,0
95,18+,1,0,0,0
97,18+,1,0,0,0
100,18+,1,0,0,0
101,18+,1,0,0,0
104,18+,1,0,1,1
106,18+,1,0,0,0
107,18+,1,0,0,0
109,18+,1,0,0,0
113,18+,1,0,0,0
114,18+,1,0,0,0
115,18+,1,0,0,0
117,18+,1,0,0,0
119,18+,1,0,0,0
121,18+,1,0,0,0
125,18+,1,0,0,0
128,18+,1,0,0,0
129,18+,1,0,0,0
130,18+,1,0,0,0
131,18+,1,0,1,0
133,18+,1,0,0,0
135,18+,1,0,0,0
138,18+,1,0,0,0
141,18+,1,0,0,0
142,18+,1,0,0,0
143,18+,1,0,1,0
144,18+,1,0,0,0
146,18+,1,0,0,0
147,18+,1,1,0,0
148,18+,1,0,0,0
150,18+,1,0,0,0
153,18+,1,0,0,0
154,18+,1,0,0,0
157,18+,1,0,0,0
158,18+,1,0,0,0
159,18+,1,0,0,0
161,18+,1,0,0,0
164,18+,1,0,0,0
167,18+,1,0,0,0
168,18+,1,0,0,0
169,18+,1,0,0,0
173,18+,1,0,0,0
174,18+,1,0,0,0
177,18+,1,0,0,0
181,18+,1,0,0,0
186,18+,1,0,0,0
188,18+,1,0,0,0
190,18+,1,0,0,0
194,18+,1,0,1,0
196,18+,1,0,0,0
197,18+,1,0,0,0
198,18+,1,0,0,0
199,18+,1,0,0,0
200,18+,1,0,0,0
201,18+,1,0,0,0
203,18+,1,0,0,0
205,18+,1,0,1,0
206,18+,1,0,0,0
207,18+,1,0,0,0
209,18+,1,0,0,0
211,18+,1,0,0,0
212,18+,1,0,0,0
213,18+,1,0,1,0
217,18+,1,0,0,0
218,18+,1,0,1,0
219,18+,1,0,0,0
222,18+,1,0,0,0
227,18+,1,0,0,0
230,18+,1,0,0,0
232,18+,1,0,0,0
233,18+,1,0,0,0
242,18+,1,0,0,0
243,18+,1,0,0,0
244,18+,1,0,0,0
245,18+,1,0,0,0
248,18+,1,0,0,0
252,18+,1,0,0,0
253,18+,1,0,0,0
255,18+,1,0,0,0
256,18+,1,0,0,0
257,18+,1,0,0,0
259,18+,1,0,0,0
261,18+,1,0,0,0
264,18+,1,0,0,0
269,18+,1,0,0,0
272,18+,1,0,0,0
275,18+,1,0,0,0
276,18+,1,0,0,0
277,18+,1,0,0,0
279,18+,1,0,0,0
280,18+,1,0,0,0
283,18+,1,0,0,0
284,18+,1,0,0,0
287,18+,1,0,0,0
288,18+,1,0,1,0
289,18+,1,0,1,0
295,18+,1,0,0,0
296,18+,1,0,0,0
299,18+,1,0,0,0
302,18+,1,0,0,0
307,18+,1,0,0,0
312,18+,1,0,1,0
315,18+,1,0,0,0
317,18+,1,0,0,0
319,18+,1,0,0,0
320,18+,1,0,0,0
326,18+,1,0,0,0
327,18+,1,0,0,0
328,18+,1,0,1,0
329,18+,1,0,0,0
331,18+,1,0,0,0
332,18+,1,0,0,0
338,18+,1,0,0,0
340,18+,1,0,0,0
341,18+,1,1,1,0
343,18+,1,0,0,0
344,18+,1,0,1,0
345,18+,1,0,0,0
348,18+,1,0,0,0
350,18+,1,0,0,0
351,18+,1,0,0,0
353,18+,1,0,0,0
354,18+,1,0,0,0
355,18+,1,0,0,0
356,18+,1,0,0,0
358,18+,1,0,0,0
361,18+,1,0,0,0
362,18+,1,0,0,0
363,18+,1,0,0,0
365,18+,1,0,0,0
368,18+,1,0,0,0
369,18+,1,0,1,0
377,18+,1,0,1,0
379,18+,1,0,0,0
383,18+,1,0,0,0
385,18+,1,0,1,0
386,18+,1,0,0,0
387,18+,1,0,0,0
390,18+,1,0,0,0
398,18+,1,0,0,0
401,18+,1,0,0,0
402,18+,1,0,1,0
405,18+,1,0,0,0
407,18+,1,0,0,0
418,18+,1,0,0,0
