ID,Age,Netflix,Hulu,Prime_Video,Disney
33,all,1,0,1,0
55,all,1,0,0,0
58,all,1,0,0,0
90,all,1,0,0,0
92,all,1,0,0,0
111,all,1,0,0,0
124,all,1,0,0,0
126,all,1,0,0,1
134,all,1,0,0,0
149,all,1,1,1,0
152,all,1,0,0,0
165,all,1,0,0,0
172,all,1,0,0,0
175,all,1,0,0,0
178,all,1,0,0,0
184,all,1,0,0,0
189,all,1,0,1,0
193,all,1,0,0,0
204,all,1,0,0,0
208,all,1,0,0,0
216,all,1,0,0,0
221,all,1,0,0,0
223,all,1,0,0,0
225,all,1,0,0,0
231,all,1,0,0,0
236,all,1,0,0,0
239,all,1,0,0,0
240,all,1,0,0,0
241,all,1,0,0,0
251,all,1,0,0,0
258,all,1,0,0,0
262,all,1,0,0,0
267,all,1,0,0,0
268,all,1,0,0,0
271,all,1,0,0,0
282,all,1,0,0,0
285,all,1,0,0,0
292,all,1,0,0,0
293,all,1,0,0,0
298,all,1,0,0,0
300,all,1,0,0,0
303,all,1,0,0,0
304,all,1,0,0,0
305,all,1,0,0,0
306,all,1,0,1,0
309,all,1,0,0,0
311,all,1,0,0,0
313,all,1,0,0,0
316,all,1,0,0,0
318,all,1,0,0,0
334,all,1,0,0,0
335,all,1,0,0,0
337,all,1,0,0,0
339,all,1,0,0,0
342,all,1,0,0,0
346,all,1,0,1,0
347,all,1,0,0,0
352,all,1,0,0,0
357,all,1,0,0,0
360,all,1,0,0,0
366,all,1,0,0,0
371,all,1,0,0,0
372,all,1,0,0,0
373,all,1,0,0,0
374,all,1,0,0,0
376,all,1,0,0,0
378,all,1,0,0,0
380,all,1,0,0,0
381,all,1,0,0,0
382,all,1,0,0,0
391,all,1,0,0,0
393,all,1,0,0,0
395,all,1,0,0,0
396,all,1,0,1,0
399,all,1,0,0,0
404,all,1,0,0,0
408,all,1,0,0,0
410,all,1,0,0,0
412,all,1,0,0,0
415,all,1,0,0,0
417,all,1,0,0,0
419,all,1,0,1,0
420,all,1,0,0,0
421,all,1,0,0,0
423,all,1,0,0,0
424,all,1,0,0,0
428,all,1,0,0,0
429,all,1,0,0,0
432,all,1,0,0,0
434,all,1,0,0,0
446,all,1,0,0,0
449,all,1,0,0,0
461,all,1,0,0,0
462,all,1,0,0,0
475,all,1,0,0,0
477,all,1,0,0,0
478,all,1,0,0,0
481,all,1,0,0,0
482,all,1,0,0,0
485,all,1,0,1,0
487,all,1,0,0,0
497,all,1,0,0,0
501,all,1,0,0,0
506,all,1,0,0,0
513,all,1,0,0,0
514,all,1,0,0,0
517,all,1,0,0,0
524,all,1,0,0,0
532,all,1,0,0,0
534,all,1,0,0,0
535,all,1,0,0,0
537,all,1,0,1,0
539,all,1,0,0,0
545,all,1,0,0,0
546,all,1,0,0,0
547,all,1,0,0,0
548,all,1,0,0,0
560,all,1,0,0,0
561,all,1,0,0,0
562,all,1,0,0,0
567,all,1,0,0,0
569,all,1,0,0,0
570,all,1,0,0,0
572,all,1,0,0,0
574,all,1,0,0,0
575,all,1,0,0,0
579,all,1,0,0,0
582,all,1,0,0,0
584,all,1,0,0,0
589,all,1,0,0,0
590,all,1,0,0,0
592,all,1,0,1,0
593,all,1,0,0,0
595,all,1,0,0,0
599,all,1,0,0,0
604,all,1,0,0,0
606,all,1,0,0,0
612,all,1,0,0,0
613,all,1,0,0,0
616,all,1,0,0,0
617,all,1,0,0,0
624,all,1,0,0,0
626,all,1,0,0,0
627,all,1,0,0,0
629,all,1,0,0,0
632,all,1,0,0,0
637,all,1,0,0,0
641,all,1,0,0,0
643,all,1,0,0,0
647,all,1,0,0,0
649,all,1,0,0,0
651,all,1,0,0,0
653,all,1,0,1,0
654,all,1,0,0,0
663,all,1,0,0,0
673,all,1,0,0,0
674,all,1,0,1,0
676,all,1,0,0,0
677,all,1,0,0,0
679,all,1,0,0,0
681,all,1,0,0,0
682,all,1,0,0,0
685,all,1,0,0,0
691,all,1,0,0,0
693,all,1,0,0,0
694,all,1,0,0,0
695,all,1,0,0,0
699,all,1,0,0,0
704,all,1,0,0,0
711,all,1,0,0,0
713,all,1,0,0,0
714,all,1,0,0,0
717,all,1,0,0,0
718,all,1,0,0,0
719,all,1,0,0,0
721,all,1,0,0,0
724,all,1,0,1,0
725,all,1,0,0,1
727,all,1,0,0,0
728,all,1,0,0,0
729,all,1,0,0,0
735,all,1,0,0,0
738,all,1,0,0,0
746,all,1,0,0,0
748,all,1,0,0,0
751,all,1,0,0,0
757,all,1,0,0,0
759,all,1,0,0,0
762,all,1,0,0,0
764,all,1,0,0,0
765,all,1,0,0,0
766,all,1,0,0,0
773,all,1,0,0,0
777,all,1,0,0,0
778,all,1,0,0,0
782,all,1,0,0,0
783,all,1,0,0,0
785,all,1,0,0,0
788,all,1,0,0,0
790,all,1,0,1,0
793,all,1,0,0,0
794,all,1,0,0,0
