ages,list_price,num_reviews,piece_count,review_difficulty,star_rating,country
9-14,104.9078,4.0,746.0,Easy,4.3,DE
4-99,6.9860000000000015,3.0,60.0,Easy,4.7,GB
6-12,85.3878,5.0,575.0,Average,5.0,IE
9-14,146.3878,15.0,825.0,Average,4.7,BE
10+,42.6878,3.0,1.0,Average,5.0,BE
6-12,91.698,8.0,663.0,Average,4.6,CH
6-12,69.99,8.0,622.0,Average,4.1,US
4-99,64.87,4.0,790.0,Easy,5.0,NO
8+,104.986,7.0,729.0,Average,4.1,GB
8-14,116.87,9.0,643.0,Average,4.8,NO
2-5,29.886999999999997,2.0,39.0,Average,5.0,NO
6-12,33.552,9.0,197.0,Easy,4.2,CZ
6-12,128.0878,3.0,792.0,Average,3.7,ES
11-16,317.1878,45.0,1862.0,Challenging,3.5,IT
5-12,7.3078,5.0,53.0,Easy,3.6,PT
8-12,38.9922,4.0,422.0,Average,4.8,CA
4-7,18.258,2.0,67.0,Average,5.0,CH
9-14,129.99,5.0,1426.0,Challenging,2.6,US
6+,579.735,8.0,2455.0,Average,3.4,NO
10-21,142.87,6.0,1.0,Very Easy,4.3,NO
7-14,73.1878,6.0,492.0,Average,4.3,DE
16+,363.986,88.0,4867.0,Challenging,4.9,
6-12,21.899,26.0,117.0,Very Easy,4.7,FI
4-99,54.8878,4.0,790.0,Easy,,AT
7-14,71.298,6.0,492.0,Average,4.3,CH
4-7,12.1878,3.0,62.0,Easy,,BE
4-7,21.899,2.0,63.0,Easy,4.5,FI
10-16,95.88,12.0,1098.0,Average,4.8,
6-12,32.4,2.0,351.0,Challenging,5.0,DN
7-12,30.3924,12.0,285.0,Easy,4.2,AU
6-12,35.598,2.0,307.0,Average,4.5,CH
14+,341.5878,19.0,3444.0,Challenging,5.0,ES
6-12,101.39220000000002,16.0,919.0,Average,4.6,CA
6-14,13.986,1.0,48.0,Very Easy,5.0,GB
5-12,12.0,40.0,2.0,Very Easy,3.9,DN
2-5,17.3971,1.0,15.0,Easy,4.0,PL
8-12,36.5878,8.0,339.0,Average,4.3,IE
5-12,56.7929,1.0,294.0,Average,5.0,NZ
10-21,27.6,1.0,1.0,Easy,5.0,DN
8-14,140.2878,2.0,841.0,Average,5.0,ES
8-14,58.4922,8.0,747.0,Average,4.5,CA
6-12,24.3878,4.0,186.0,Easy,4.5,PT
4-7,30.4878,3.0,94.0,Average,4.7,AT
8-12,143.88,3.0,1019.0,Easy,5.0,DN
8-14,81.72779999999999,37.0,370.0,Easy,1.8,ES
7-14,42.6878,7.0,358.0,Average,4.7,IT
4-7,42.6878,1.0,178.0,Very Easy,5.0,LU
4-7,9.99,8.0,47.0,Very Easy,4.0,US
7-14,29.886999999999997,1.0,191.0,Easy,5.0,NO
8+,36.5878,2.0,1.0,Very Easy,4.0,AT
10+,19.4922,1.0,234.0,Easy,5.0,CA
6-12,67.0878,3.0,380.0,Average,4.3,DE
4-99,9.7478,6.0,1.0,Very Easy,4.7,NL
7-14,45.1278,11.0,293.0,Average,4.7,IE
4-7,9.99,3.0,59.0,Easy,5.0,US
6-12,36.5878,5.0,378.0,Easy,4.8,PT
9-14,75.9924,19.0,944.0,Average,,AU
2-5,97.5878,1.0,106.0,Easy,5.0,BE
5-12,54.8878,1.0,294.0,Average,5.0,PT
6-12,121.9878,3.0,792.0,Average,3.7,LU
5-12,24.3878,8.0,144.0,Easy,4.3,FR
9-14,73.1878,8.0,876.0,Average,5.0,AT
16+,159.99,177.0,2262.0,Challenging,4.6,US
9-14,39.99,6.0,168.0,Average,5.0,US
10+,27.986,33.0,231.0,Easy,4.6,GB
6-12,34.986,2.0,351.0,Challenging,5.0,GB
9-14,134.18779999999998,15.0,825.0,Average,4.7,IE
9-14,134.139,4.0,1053.0,Average,4.0,FI
7-12,36.5878,2.0,374.0,Easy,3.5,PT
6-12,9.99,4.0,88.0,Easy,4.5,US
6-12,9.99,1.0,109.0,Average,5.0,US
7-14,24.8429,1.0,56.0,Easy,5.0,NZ
6-12,12.1878,6.0,122.0,Easy,4.5,PT
10+,13.986,5.0,143.0,Easy,5.0,GB
2-5,60.9878,11.0,52.0,Easy,4.7,LU
10+,12.1878,1.0,135.0,Very Easy,4.0,FR
6-12,24.3878,4.0,216.0,Easy,4.5,AT
7-12,77.9922,5.0,774.0,Easy,2.8,CA
10+,13.986,5.0,130.0,Easy,5.0,GB
4-7,11.5971,3.0,62.0,Easy,4.7,PL
10+,12.1878,3.0,119.0,Easy,5.0,BE
16+,365.9878,88.0,4867.0,Challenging,4.9,DE
8-14,76.986,19.0,433.0,Average,4.7,GB
5-12,12.1878,12.0,88.0,Easy,4.9,PT
2-5,23.3922,1.0,31.0,Easy,5.0,CA
6-14,12.1878,11.0,109.0,Easy,4.7,FR
8-12,79.28779999999998,11.0,728.0,Average,3.4,LU
9-14,111.986,6.0,914.0,Average,,GB
2-5,36.5878,1.0,37.0,Very Easy,5.0,LU
7-14,42.5929,12.0,366.0,Easy,4.8,NZ
10-16,76.986,12.0,603.0,Average,4.7,GB
12+,73.1878,37.0,598.0,Average,4.2,LU
8-14,116.87,19.0,674.0,Average,4.6,NO
8-12,119.99,6.0,813.0,Average,4.3,US
9-14,97.5878,6.0,914.0,Average,4.8,AT
5-12,12.1878,2.0,82.0,Very Easy,5.0,LU
5-12,9.99,2.0,79.0,Easy,3.5,US
7-12,22.7924,2.0,205.0,Average,5.0,AU
5-12,14.99,85.0,2.0,Very Easy,3.5,US
10-16,67.0878,12.0,603.0,Average,4.7,LU
10+,12.987000000000002,1.0,135.0,Very Easy,4.0,NO
6-12,36.5878,1.0,199.0,Average,5.0,BE
5-12,18.2878,1.0,126.0,Easy,5.0,FR
5-12,14.6278,85.0,2.0,Very Easy,3.5,DE
10+,13.0471,5.0,143.0,Easy,5.0,PL
11-16,124.7922,23.0,1219.0,Challenging,4.8,CA
2-5,24.3878,2.0,39.0,Average,5.0,BE
6-12,12.1524,1.0,102.0,Easy,4.0,AU
8-14,97.5878,6.0,557.0,Challenging,4.3,BE
12+,77.9922,51.0,773.0,Average,4.1,CA
5+,4.8678,16.0,7.0,Very Easy,4.4,AT
5-12,24.99,13.0,157.0,Easy,4.6,US
7-12,109.7878,4.0,871.0,Average,4.8,AT
9-14,225.6878,52.0,2295.0,Challenging,4.9,DE
16+,212.9929,115.0,2382.0,Challenging,4.7,NZ
4-7,57.552,2.0,191.0,Average,5.0,CZ
8-14,85.3878,8.0,747.0,Average,4.5,LU
9-14,129.87,39.0,863.0,Average,4.4,NO
8-14,71.37,2.0,556.0,Average,4.0,NO
5-12,48.7878,10.0,169.0,Very Easy,4.1,IT
6-12,13.252199999999998,18.0,124.0,Easy,4.7,CA
6-12,23.951999999999998,4.0,186.0,Easy,4.5,CZ
8-14,60.9878,3.0,506.0,Average,5.0,AT
8+,65.88,4.0,549.0,Easy,4.8,DN
9-14,134.18779999999998,15.0,825.0,Average,4.7,AT
7-12,14.99,2.0,145.0,Average,4.0,US
9-14,115.152,11.0,1202.0,Average,4.5,CZ
7-14,42.6878,18.0,254.0,Easy,4.2,ES
2-5,29.99,1.0,31.0,Easy,5.0,US
4-7,11.5971,8.0,47.0,Very Easy,4.0,PL
9-14,212.9929,52.0,2295.0,Challenging,4.9,NZ
6-12,10.1322,9.0,87.0,Easy,4.3,CA
10+,12.1524,5.0,143.0,Easy,5.0,AU
5-12,12.1878,2.0,79.0,Easy,3.5,NL
4-7,18.2878,2.0,63.0,Easy,4.5,IE
9-14,49.99,9.0,554.0,Challenging,4.0,US
6-12,12.1878,4.0,88.0,Easy,4.5,IT
4-7,18.2878,2.0,67.0,Average,5.0,IT
4+,3.12,180.0,1.0,Very Easy,4.8,NO
16+,134.139,134.0,1077.0,Average,4.7,FI
7-14,48.7878,13.0,375.0,Easy,4.8,LU
4-99,6.0878000000000005,3.0,60.0,Easy,4.7,IT
12+,42.6878,14.0,386.0,Average,4.4,IE
7-12,21.9478,9.0,205.0,Average,4.8,IT
7-12,36.5878,27.0,149.0,Easy,4.5,LU
7-12,111.18,4.0,871.0,Average,4.8,CH
2-5,27.6,2.0,26.0,Very Easy,5.0,DN
6-12,121.7971,3.0,792.0,Average,3.7,PL
8-14,69.99,17.0,674.0,Average,4.7,US
16+,311.952,228.0,4295.0,Challenging,,CZ
11-16,195.1878,22.0,2595.0,Average,4.7,IE
6-12,12.1878,3.0,91.0,Easy,4.3,ES
7-14,48.7878,5.0,267.0,Easy,3.2,
10+,30.4878,33.0,231.0,Easy,4.6,IT
2-5,23.786,2.0,26.0,Average,5.0,GB
5-12,36.5878,2.0,222.0,Average,5.0,
